title,comment_num,director,quote,rating_num
狮子王,8.9,导演: Roger Allers / 罗伯·明可夫 Rob Minkoff   主演: 乔纳森·泰勒·托马...,动物版《哈姆雷特》。,311481人评价
钢琴家,9,导演: 罗曼·波兰斯基 Roman Polanski   主演: 艾德里安·布洛迪 Adrien Brod...,音乐能化解仇恨。,221945人评价
天使爱美丽,8.7,导演: 让-皮埃尔·热内 Jean-Pierre Jeunet   主演: 奥黛丽·塔图 Audrey Tau...,法式小清新。 ,523331人评价
素媛,9.1,导演: 李濬益 Jun-ik Lee   主演: 薛景求 Kyung-gu Sol / 严志媛 Ji-won Uhm ...,受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。,207986人评价
七宗罪,8.7,导演: 大卫·芬奇 David Fincher   主演: 摩根·弗里曼 Morgan Freeman / 布...,警察抓小偷，老鼠玩死猫。,471686人评价
小鞋子,9.2,导演: 马基德·马基迪 Majid Majidi   主演: Amir Farrokh Hashemian / 默罕...,奔跑的孩子是天使。,155130人评价
被嫌弃的松子的一生,8.9,导演: 中岛哲也 Tetsuya Nakashima   主演: 中谷美纪 Miki Nakatani / 瑛太 E...,以戏谑来戏谑戏谑。,323616人评价
致命魔术,8.8,导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 休·杰克曼 Hugh Jackman...,孪生蝙蝠侠大战克隆金刚狼。,378596人评价
看不见的客人,8.8,导演: 奥里奥尔·保罗 Oriol Paulo   主演: 马里奥·卡萨斯 Mario Casas / 阿...,你以为你以为的就是你以为的。,385149人评价
音乐之声,8.9,导演: Robert Wise   主演: 朱丽·安德鲁斯 Julie Andrews / 克里斯托弗·普...,用音乐化解仇恨，让歌声串起美好。,252711人评价
勇敢的心,8.8,导演: 梅尔·吉布森 Mel Gibson   主演: 梅尔·吉布森 Mel Gibson / 苏菲·玛...,史诗大片的典范。,316778人评价
本杰明·巴顿奇事,8.8,导演: 大卫·芬奇 David Fincher   主演: 凯特·布兰切特 Cate Blanchett / ...,在时间之河里感受溺水之苦。,429208人评价
剪刀手爱德华,8.7,导演: Tim Burton   主演: 约翰尼·德普 Johnny Depp / 薇诺娜·瑞德 Winona ...,浪漫忧郁的成人童话。,526842人评价
低俗小说,8.8,导演: 昆汀·塔伦蒂诺 Quentin Tarantino   主演: 约翰·特拉沃尔塔 John Tra...,故事的高级讲法。,367824人评价
西西里的美丽传说,8.7,导演: 朱塞佩·托纳多雷 Giuseppe Tornatore   主演: 莫妮卡·贝鲁奇 Monica ...,美丽无罪。,389086人评价
黑客帝国,8.8,导演: 安迪·沃卓斯基 Andy Wachowski / 拉娜·沃卓斯基 Lana Wachowski   主...,视觉革命。,309669人评价
拯救大兵瑞恩,8.9,导演: 史蒂文·斯皮尔伯格 Steven Spielberg   主演: 汤姆·汉克斯 Tom Hanks...,美利坚精神输出大片No1.,264502人评价
沉默的羔羊,8.7,导演: 乔纳森·戴米 Jonathan Demme   主演: 朱迪·福斯特 Jodie Foster / 安...,安东尼·霍普金斯的顶级表演。,386266人评价
入殓师,8.8,导演: 泷田洋二郎 Yôjirô Takita   主演: 本木雅弘 Masahiro Motoki / ...,死可能是一道门，逝去并不是终结，而是超越，走向下一程。,340196人评价
蝴蝶效应,8.7,导演: 埃里克·布雷斯 Eric Bress / J·麦基·格鲁伯 J. Mackye Gruber   主...,人的命运被自己瞬间的抉择改变。,417175人评价
让子弹飞,8.7,导演: 姜文 Wen Jiang   主演: 姜文 Wen Jiang / 葛优 You Ge / 周润发 Yun-F...,你给我翻译翻译，神马叫做TMD的惊喜。,682400人评价
春光乍泄,8.8,导演: 王家卫 Kar Wai Wong   主演: 张国荣 Leslie Cheung / 梁朝伟 Tony Leu...,爱情纠缠，男女一致。,272659人评价
玛丽和马克思,8.9,导演: 亚当·艾略特 Adam Elliot   主演: 托妮·科莱特 Toni Collette / 菲利...,你是我最好的朋友，你是我唯一的朋友 。,245755人评价
大闹天宫,9.3,导演: 万籁鸣 Laiming Wan / 唐澄 Cheng  Tang   主演: 邱岳峰 Yuefeng Qiu /...,经典之作，历久弥新。,112839人评价
心灵捕手,8.8,导演: 格斯·范·桑特 Gus Van Sant   主演: 马特·达蒙 Matt Damon / 罗宾·...,人生中应该拥有这样的一段豁然开朗。,297875人评价
末代皇帝,8.9,导演: 贝纳尔多·贝托鲁奇 Bernardo Bertolucci   主演: 尊龙 John Lone / 陈...,“不要跟我比惨，我比你更惨”再适合这部电影不过了。,192110人评价
阳光灿烂的日子,8.8,导演: 姜文 Wen Jiang   主演: 夏雨 Yu Xia / 宁静 Jing Ning / 陶虹 Hong Tao,一场华丽的意淫。,294643人评价
幽灵公主,8.8,导演: 宫崎骏 Hayao Miyazaki   主演: 松田洋治 Yôji Matsuda / 石田百合...,人与自然的战争史诗。,256123人评价
第六感,8.8,导演: M·奈特·沙马兰 M. Night Shyamalan   主演: 布鲁斯·威利斯 Bruce Wi...,深入内心的恐怖，出人意料的结局。,254574人评价
重庆森林,8.7,导演: 王家卫 Kar Wai Wong   主演: 林青霞 Brigitte Lin / 金城武 Takeshi K...,寂寞没有期限。,362213人评价
布达佩斯大饭店,8.8,导演: 韦斯·安德森 Wes Anderson   主演: 拉尔夫·费因斯 Ralph Fiennes / ...,小清新的故事里注入了大历史的情怀。,350039人评价
禁闭岛,8.7,导演: Martin Scorsese   主演: 莱昂纳多·迪卡普里奥 Leonardo DiCaprio / ...,昔日翩翩少年，今日大腹便便。,392806人评价
哈利·波特与魔法石,8.7,导演: Chris Columbus   主演: Daniel Radcliffe / Emma Watson / Rupert Grint,童话世界的开端。,287693人评价
狩猎,9,导演: 托马斯·温特伯格 Thomas Vinterberg   主演: 麦斯·米科尔森 Mads Mik...,人言可畏。,143975人评价
大鱼,8.7,导演: 蒂姆·波顿 Tim Burton   主演: 伊万·麦克格雷格 Ewan McGregor / 阿...,抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。,273422人评价
致命ID,8.6,导演: James Mangold   主演: John Cusack / Ray Liotta / Amanda Peet,最不可能的那个人永远是最可能的。,346848人评价
射雕英雄传之东成西就,8.7,导演: 刘镇伟 Jeffrey Lau   主演: 梁朝伟 Tony Leung Chiu Wai / 林青霞 Bri...,百看不厌。 ,298868人评价
甜蜜蜜,8.8,导演: 陈可辛 Peter Chan   主演: 黎明 Leon Lai / 张曼玉 Maggie Cheung / ...,相逢只要一瞬间，等待却像是一辈子。,249875人评价
猫鼠游戏,8.7,导演: 史蒂文·斯皮尔伯格 Steven Spielberg   主演: 莱昂纳多·迪卡普里奥 L...,骗子大师和执著警探的你追我跑故事。 ,254501人评价
断背山,8.7,导演: 李安 Ang Lee   主演: 希斯·莱杰 Heath Ledger / 杰克·吉伦哈尔 Jake...,每个人心中都有一座断背山。,346874人评价
一一,8.9,导演: 杨德昌 Edward Yang   主演: 吴念真 / 李凯莉 Kelly Lee / 金燕玲 Elai...,我们都曾经是一一。,168084人评价
告白,8.7,导演: 中岛哲也 Tetsuya Nakashima   主演: 松隆子 Takako Matsu / 冈田将生 ...,没有一人完全善，也没有一人完全恶。,370184人评价
阳光姐妹淘,8.8,导演: 姜炯哲 Hyeong-Cheol Kang   主演: 沈恩京 Eun-kyung Shim / 闵孝琳 Hy...,再多各自牛逼的时光，也比不上一起傻逼的岁月。 ,291261人评价
加勒比海盗,8.6,导演: 戈尔·维宾斯基 Gore Verbinski   主演: 约翰尼·德普 Johnny Depp / ...,约翰尼·德普的独角戏。,375813人评价
